Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News Full,AddRandomCharsNoise,TARSZeroShot,0.7031578947368421,0.6675529399827357,0.6583306094182826,0.7031578947368421
AG News Full,AddRandomWordsNoise,TARSZeroShot,0.7076315789473684,0.6701997265393856,0.660671052631579,0.7076315789473684
AG News Full,DeleteRandomWordsNoise,TARSZeroShot,0.699078947368421,0.6665698485510039,0.6612551939058171,0.699078947368421
AG News Full,NoNoise,TARSZeroShot,0.7348684210526316,0.7053594690063116,0.7031069944598337,0.7348684210526316
AG News Full,ReplaceWithAntonymsNoise,TARSZeroShot,0.7342105263157894,0.7042831417956956,0.7016596952908587,0.7342105263157894
AG News Full,ReplaceWithSynonymsNoise,TARSZeroShot,0.7330263157894736,0.7020667389541586,0.6983530470914128,0.7330263157894736
AG News Full,ShuffleSentencesNoise,TARSZeroShot,0.7331578947368421,0.7039214643866247,0.7018676592797785,0.7331578947368421
AG News LLM labels,AddRandomCharsNoise,TARSZeroShot,0.7092105263157895,0.6725372842360993,0.6625668282548477,0.7092105263157895
AG News LLM labels,AddRandomWordsNoise,TARSZeroShot,0.7063157894736842,0.6701346302521572,0.6624101108033241,0.7063157894736842
AG News LLM labels,DeleteRandomWordsNoise,TARSZeroShot,0.7030263157894737,0.6707372140609837,0.6658292243767314,0.7030263157894737
AG News LLM labels,NoNoise,TARSZeroShot,0.7348684210526316,0.7053594690063116,0.7031069944598337,0.7348684210526316
AG News LLM labels,ReplaceWithAntonymsNoise,TARSZeroShot,0.7348684210526316,0.7045579364838791,0.7017117728531855,0.7348684210526316
AG News LLM labels,ReplaceWithSynonymsNoise,TARSZeroShot,0.7298684210526316,0.6999631257186839,0.6970144044321329,0.7298684210526316
AG News LLM labels,ShuffleSentencesNoise,TARSZeroShot,0.7339473684210527,0.7039097300564683,0.701085110803324,0.7339473684210527
